stockid,stocklong,scientificname,areaid,region,Bram,Uram,Country,FAO English,code,n.fmi,fmi0,n.fmi.bsta,n.fmi.usta,fmi.bsta,fmi.usta,country?,fmi,research,management,enforcement,science,R_LAN,R_AGE,R_SUR,R_ASS,M_FMP,M_LFP,M_AFP,E_ENF,E_HAB,E_BYC,S_ACC,S_INV,S_SUB
CRLOBSTERSA8,West coast rock lobster South Africa Area 8,Jasus lalandii,South Africa-DETMCM-8,South Africa,,1.81884058,South Africa,Cape rock lobster,South Africa|Cape rock lobster,7,0.816974097,7,7,0,0,South Africa|Cape rock lobster,0.816974097,0.93877551,0.928571429,0.507692308,0.892857143,0.928571429,0.80952381,1,0.985714286,0.928571429,0.928571429,0.928571429,0.125,0.69047619,0.9375,0.928571429,0.80952381,0.964285714
DEEPCHAKESA,Deep-water cape hake South Africa,Merluccius paradoxus,South Africa-DETMCM-SA,South Africa,0.98,1.14,South Africa,Deep-water Cape hake,South Africa|Deep-water Cape hake,,,,,,,South Africa|Deep-water Cape hake,,,,,,,,,,,,,,,,,,
PTOOTHFISHPEI,Patagonian toothfish South Africa Subantarctic Prince Edward Islands,Dissostichus eleginoides,South Africa-DETMCM-PEI,South Africa,2.36,0,South Africa,Patagonian toothfish,South Africa|Patagonian toothfish,,,,,,,South Africa|Patagonian toothfish,,,,,,,,,,,,,,,,,,
CHAKESA,Shallow-water cape hake South Africa,Merluccius capensis,South Africa-DETMCM-SA,South Africa,2.47,0.14,South Africa,Shallow-water Cape hake,South Africa|Shallow-water Cape hake,,,,,,,South Africa|Shallow-water Cape hake,,,,,,,,,,,,,,,,,,
WANGLVIIIc-IXa,White anglerfish VIIIc-IXa,Lophius piscatorius,multinational-ICES-VIIIc-IXa,European Union,1.470555556,0.677419355,Spain,Angler(=Monk),Spain|Angler(=Monk),,,,,,,Spain|Angler(=Monk),,,,,,,,,,,,,,,,,,
ANGLVIIIc-IXa,Black bellied angler VIIIc-IXa,Lophius budegassa,multinational-ICES-VIIIc-IXa,European Union,1.109,0.5168,Spain,Blackbellied angler,Spain|Blackbellied angler,,,,,,,Spain|Blackbellied angler,,,,,,,,,,,,,,,,,,
ANCHOBAYB,Anchovy ICES VIII,Engraulis encrasicolus,multinational-ICES-VIII,European Union,1.698636364,,Spain,European anchovy,Spain|European anchovy,3,0.749473443,3,3,1,1,Spain|European anchovy,0.749473443,0.952380952,0.903846154,0.516666667,0.625,0.944444444,1,0.833333333,1,1,0.8125,0.888888889,0.583333333,0.666666667,0.277777778,0.722222222,0.888888889,0.083333333
ANCHMEDGSA1,Anchovy Northern Alboran Sea,Engraulis encrasicolus,multinational-GFCM-GSA1,Mediterranean-Black Sea,,2.323522903,Spain,European anchovy,Spain|European anchovy,3,0.749473443,3,3,1,1,Spain|European anchovy,0.749473443,0.952380952,0.903846154,0.516666667,0.625,0.944444444,1,0.833333333,1,1,0.8125,0.888888889,0.583333333,0.666666667,0.277777778,0.722222222,0.888888889,0.083333333
HAKESOTH,Hake Northeast Atlantic South,Merluccius merluccius,multinational-ICES-VIIIc-IXa,European Union,2.081171171,2.097878972,Spain,European hake,Spain|European hake,5,0.818510611,5,5,0.7,0.5,Spain|European hake,0.818510611,0.978571429,0.866666667,0.641304348,0.7875,0.966666667,0.933333333,1,1,0.866666667,0.8,0.933333333,0.5625,0.833333333,0.533333333,0.9,0.9,0.45
HAKEMEDGSA1-7,Hake Geographical Sub-Areas 1-7,Merluccius merluccius,multinational-GFCM-GSA1-7,Mediterranean-Black Sea,,2.871794872,Spain,European hake,Spain|European hake,5,0.818510611,5,5,0.7,0.5,Spain|European hake,0.818510611,0.978571429,0.866666667,0.641304348,0.7875,0.966666667,0.933333333,1,1,0.866666667,0.8,0.933333333,0.5625,0.833333333,0.533333333,0.9,0.9,0.45
SARDPVIIIc-IXa,European pilchard ICES VIIIc-IXa,Sardina pilchardus,multinational-ICES-VIIIc-IXa,European Union,0.540890337,1.181382226,Spain,European pilchard(=Sardine),Spain|European pilchard(=Sardine),5,0.753186841,4,4,0.5,0.5,Spain|European pilchard(=Sardine),0.753186841,0.928571429,0.790697674,0.543478261,0.75,0.966666667,1,0.866666667,0.9,0.928571429,0.571428571,0.866666667,0.5625,0.6,0.466666667,0.8,0.9,0.45
SARDMEDGSA6,European pilchard Northern Spain,Sardina pilchardus,multinational-GFCM-GSA6,Mediterranean-Black Sea,,1.664285714,Spain,European pilchard(=Sardine),Spain|European pilchard(=Sardine),5,0.753186841,4,4,0.5,0.5,Spain|European pilchard(=Sardine),0.753186841,0.928571429,0.790697674,0.543478261,0.75,0.966666667,1,0.866666667,0.9,0.928571429,0.571428571,0.866666667,0.5625,0.6,0.466666667,0.8,0.9,0.45
FMEG8c9a,Fourspotted megrim ICES VIIIc-IXa,Lepidorhombus boscii,multinational-ICES-VIIIc-IXa,European Union,1.560869565,2.137894737,Spain,Four-spot megrim,Spain|Four-spot megrim,,,,,,,Spain|Four-spot megrim,,,,,,,,,,,,,,,,,,
MEG8c9a,Megrim ICES VIIIc-IXa,Lepidorhombus whiffiagonis,multinational-ICES-VIIIc-IXa,European Union,1.107142857,1.377368421,Spain,Megrim,Spain|Megrim,,,,,,,Spain|Megrim,,,,,,,,,,,,,,,,,,
RMULLMEDGSA1,Red mullet Northern Alboran Sea,Mullus barbatus,multinational-GFCM-GSA1,Mediterranean-Black Sea,,4.851851852,Spain,Red mullet,Spain|Red mullet,1,0.790972222,1,1,0,0,Spain|Red mullet,0.790972222,1,0.888888889,0.65,0.625,1,1,1,1,1,0.666666667,1,0.5,1,0.5,0.666666667,0.833333333,0.25
RMULLMEDGSA6,Red mullet Northern Spain,Mullus barbatus,multinational-GFCM-GSA6,Mediterranean-Black Sea,,2.771929825,Spain,Red mullet,Spain|Red mullet,1,0.790972222,1,1,0,0,Spain|Red mullet,0.790972222,1,0.888888889,0.65,0.625,1,1,1,1,1,0.666666667,1,0.5,1,0.5,0.666666667,0.833333333,0.25
SWORDMED,Swordfish Mediterranean Sea,Xiphias gladius,multinational-ICCAT-MED,Mediterranean-Black Sea,0.96,0.954420624,Spain,Swordfish,Spain|Swordfish,1,0.603174603,1,1,0,0,Spain|Swordfish,0.603174603,0.857142857,0.777777778,0.277777778,0.5,1,0.666666667,0.666666667,1,1,0.333333333,1,0.5,0,0.166666667,0.666666667,0.5,0.25
CODBA2532,Atlantic cod Baltic Areas 25-32,Gadus morhua,multinational-ICES-25-32,European Union,2.039365079,1.243333333,Sweden,Atlantic cod,Sweden|Atlantic cod,1,0.735069444,1,1,0.5,0,Sweden|Atlantic cod,0.735069444,1,0.777777778,0.35,0.8125,1,1,1,1,0.833333333,0.666666667,0.833333333,0,0.833333333,0.333333333,0.666666667,0.833333333,1
HERR2224IIIa,Herring ICES 22-24-IIIa,Clupea harengus,multinational-ICES-22-24-IIIa,European Union,1.300036364,0.799102813,Sweden,Atlantic herring,Sweden|Atlantic herring,1,0.921875,1,1,1,1,Sweden|Atlantic herring,0.921875,1,1,0.75,0.9375,1,1,1,1,1,1,1,1,0.833333333,0.333333333,1,0.833333333,1
HERR2529-32,Herring Subdivisions 25-29 and 32,Clupea harengus,multinational-ICES-2529-32,European Union,1.76108,0.831335982,Sweden,Atlantic herring,Sweden|Atlantic herring,1,0.921875,1,1,1,1,Sweden|Atlantic herring,0.921875,1,1,0.75,0.9375,1,1,1,1,1,1,1,1,0.833333333,0.333333333,1,0.833333333,1
SOLEIIIa-2224,Common sole 22-24-IIIa,Solea solea,multinational-ICES-22-24-IIIa,European Union,0.940384615,0.491304348,Sweden,Common sole,Sweden|Common sole,,,,,,,Sweden|Common sole,,,,,,,,,,,,,,,,,,
SPRAT22-32,Sprat ICES Baltic Areas 22-32,Sprattus sprattus,multinational-ICES-22-32,European Union,2.356140351,1.028846154,Sweden,European sprat,Sweden|European sprat,1,0.921875,1,1,1,1,Sweden|European sprat,0.921875,1,1,0.75,0.9375,1,1,1,1,1,1,1,1,0.833333333,0.333333333,1,0.833333333,1
CODIIIaW-IV-VIId,Atlantic cod IIIa (west) and IV-VIId,Gadus morhua,multinational-ICES-IIIaW-IV-VIId,European Union,0.976575758,1.166666667,United Kingdom,Atlantic cod,United Kingdom|Atlantic cod,4,0.877084287,4,4,0.375,0.375,United Kingdom|Atlantic cod,0.877084287,0.973214286,0.930555556,0.807692308,0.796875,1,0.958333333,0.916666667,1,1,0.791666667,1,0.8,0.875,0.75,1,0.791666667,0.5
CODVIa,Atlantic cod West of Scotland,Gadus morhua,multinational-ICES-VIa,European Union,0.133851,5.153147847,United Kingdom,Atlantic cod,United Kingdom|Atlantic cod,4,0.877084287,4,4,0.375,0.375,United Kingdom|Atlantic cod,0.877084287,0.973214286,0.930555556,0.807692308,0.796875,1,0.958333333,0.916666667,1,1,0.791666667,1,0.8,0.875,0.75,1,0.791666667,0.5
CODIS,Atlantic cod Irish Sea,Gadus morhua,multinational-ICES-VIIa,European Union,0.5269549,2.910763078,United Kingdom,Atlantic cod,United Kingdom|Atlantic cod,4,0.877084287,4,4,0.375,0.375,United Kingdom|Atlantic cod,0.877084287,0.973214286,0.930555556,0.807692308,0.796875,1,0.958333333,0.916666667,1,1,0.791666667,1,0.8,0.875,0.75,1,0.791666667,0.5
HERRVIa,Herring ICES VIa,Clupea harengus,multinational-ICES-VIa,European Union,1.050266667,1.3395,United Kingdom,Atlantic herring,United Kingdom|Atlantic herring,6,0.877144567,6,6,0.583333333,0.916666667,United Kingdom|Atlantic herring,0.877144567,0.976190476,0.925925926,0.762711864,0.84375,1,1,0.888888889,1,1,0.777777778,1,0.782608696,0.638888889,0.861111111,1,0.916666667,0.5
HERRVIaVIIbc,Herring ICES VIa-VIIb-VIIc,Clupea harengus,multinational-ICES-VIa-VIIb-VIIc,European Union,0.522485366,0.443428575,United Kingdom,Atlantic herring,United Kingdom|Atlantic herring,6,0.877144567,6,6,0.583333333,0.916666667,United Kingdom|Atlantic herring,0.877144567,0.976190476,0.925925926,0.762711864,0.84375,1,1,0.888888889,1,1,0.777777778,1,0.782608696,0.638888889,0.861111111,1,0.916666667,0.5
HERRNIRS,Herring Northern Irish Sea,Clupea harengus,multinational-ICES-VIIa,European Union,1.393377895,1.013260804,United Kingdom,Atlantic herring,United Kingdom|Atlantic herring,6,0.877144567,6,6,0.583333333,0.916666667,United Kingdom|Atlantic herring,0.877144567,0.976190476,0.925925926,0.762711864,0.84375,1,1,0.888888889,1,1,0.777777778,1,0.782608696,0.638888889,0.861111111,1,0.916666667,0.5
HERRSIRS,Herring ICES VIIa-g-h-j,Clupea harengus,multinational-ICES-VIIa-g-h-j,European Union,1.572648148,0.728188462,United Kingdom,Atlantic herring,United Kingdom|Atlantic herring,6,0.877144567,6,6,0.583333333,0.916666667,United Kingdom|Atlantic herring,0.877144567,0.976190476,0.925925926,0.762711864,0.84375,1,1,0.888888889,1,1,0.777777778,1,0.782608696,0.638888889,0.861111111,1,0.916666667,0.5
SOLEVIIe,Common sole Western English Channel,Solea solea,multinational-ICES-VIIe,European Union,1.39,0.676162059,United Kingdom,Common sole,United Kingdom|Common sole,,,,,,,United Kingdom|Common sole,,,,,,,,,,,,,,,,,,
SOLECS,Common sole Celtic Sea,Solea solea,multinational-ICES-VIIf-g,European Union,1.08125,1.13037037,United Kingdom,Common sole,United Kingdom|Common sole,,,,,,,United Kingdom|Common sole,,,,,,,,,,,,,,,,,,
PLAICNS,European Plaice North Sea,Pleuronectes platessa,multinational-ICES-IV,European Union,4.11177913,0.913157895,United Kingdom,European plaice,United Kingdom|European plaice,1,0.934722222,1,1,0.5,0.5,United Kingdom|European plaice,0.934722222,1,0.888888889,0.85,1,1,1,1,1,1,0.666666667,1,1,0.833333333,0.666666667,1,1,1
PLAICECHW,European Plaice ICES VIIe,Pleuronectes platessa,multinational-ICES-VIIe,European Union,3.353333333,1.1425,United Kingdom,European plaice,United Kingdom|European plaice,1,0.934722222,1,1,0.5,0.5,United Kingdom|European plaice,0.934722222,1,0.888888889,0.85,1,1,1,1,1,1,0.666666667,1,1,0.833333333,0.666666667,1,1,1
HADROCK,Haddock Rockall Bank,Melanogrammus aeglefinus,multinational-ICES-VIb,European Union,2.314215686,1.072,United Kingdom,Haddock,United Kingdom|Haddock,6,0.859368695,6,6,0.916666667,0.916666667,United Kingdom|Haddock,0.859368695,0.982142857,0.916666667,0.694915254,0.84375,1,0.972222222,0.944444444,1,1,0.75,1,0.782608696,0.722222222,0.555555556,1,0.916666667,0.5
MEGSPPIVa-VIa,Megrim spp. IVa and VIa,Lepidorhombus spp.,multinational-ICES-IVa-VIa,European Union,1.839909,0.303312155,United Kingdom,Megrims nei,United Kingdom|Megrims nei,,,,,,,United Kingdom|Megrims nei,,,,,,,,,,,,,,,,,,
NEPHFU11,Norway lobster North Minch (FU 11),Nephrops norvegicus,multinational-ICES-FU11,European Union,,0.880733945,United Kingdom,Norway lobster,United Kingdom|Norway lobster,6,0.788208457,6,6,0.75,0.666666667,United Kingdom|Norway lobster,0.788208457,0.928571429,0.712962963,0.677966102,0.833333333,1,0.888888889,0.861111111,0.95,0.694444444,0.666666667,0.777777778,0.717391304,0.694444444,0.611111111,1,0.888888889,0.5
NEPHFU12,Norway lobster South Minch (FU 12),Nephrops norvegicus,multinational-ICES-FU12,European Union,,0.471544715,United Kingdom,Norway lobster,United Kingdom|Norway lobster,6,0.788208457,6,6,0.75,0.666666667,United Kingdom|Norway lobster,0.788208457,0.928571429,0.712962963,0.677966102,0.833333333,1,0.888888889,0.861111111,0.95,0.694444444,0.666666667,0.777777778,0.717391304,0.694444444,0.611111111,1,0.888888889,0.5
NEPHFU13,Norway lobster Firth of Clyde and Sound of Jura (FU 13),Nephrops norvegicus,multinational-ICES-FU13,European Union,,1.37804878,United Kingdom,Norway lobster,United Kingdom|Norway lobster,6,0.788208457,6,6,0.75,0.666666667,United Kingdom|Norway lobster,0.788208457,0.928571429,0.712962963,0.677966102,0.833333333,1,0.888888889,0.861111111,0.95,0.694444444,0.666666667,0.777777778,0.717391304,0.694444444,0.611111111,1,0.888888889,0.5
NEPHFU14,Norway lobster Irish Sea East (FU 14),Nephrops norvegicus,multinational-ICES-FU14,European Union,1.687221143,0.680909091,United Kingdom,Norway lobster,United Kingdom|Norway lobster,6,0.788208457,6,6,0.75,0.666666667,United Kingdom|Norway lobster,0.788208457,0.928571429,0.712962963,0.677966102,0.833333333,1,0.888888889,0.861111111,0.95,0.694444444,0.666666667,0.777777778,0.717391304,0.694444444,0.611111111,1,0.888888889,0.5
NEPHFU15,Norway lobster Irish Sea West (FU 15),Nephrops norvegicus,multinational-ICES-FU15,European Union,,1.022910281,United Kingdom,Norway lobster,United Kingdom|Norway lobster,6,0.788208457,6,6,0.75,0.666666667,United Kingdom|Norway lobster,0.788208457,0.928571429,0.712962963,0.677966102,0.833333333,1,0.888888889,0.861111111,0.95,0.694444444,0.666666667,0.777777778,0.717391304,0.694444444,0.611111111,1,0.888888889,0.5
NEPHFU6,Norway lobster Farn Deeps (FU 6),Nephrops norvegicus,multinational-ICES-FU6,European Union,,1.435146753,United Kingdom,Norway lobster,United Kingdom|Norway lobster,6,0.788208457,6,6,0.75,0.666666667,United Kingdom|Norway lobster,0.788208457,0.928571429,0.712962963,0.677966102,0.833333333,1,0.888888889,0.861111111,0.95,0.694444444,0.666666667,0.777777778,0.717391304,0.694444444,0.611111111,1,0.888888889,0.5
NEPHFU7,Norway lobster Fladen Ground (FU 7),Nephrops norvegicus,multinational-ICES-FU7,European Union,,0.266666667,United Kingdom,Norway lobster,United Kingdom|Norway lobster,6,0.788208457,6,6,0.75,0.666666667,United Kingdom|Norway lobster,0.788208457,0.928571429,0.712962963,0.677966102,0.833333333,1,0.888888889,0.861111111,0.95,0.694444444,0.666666667,0.777777778,0.717391304,0.694444444,0.611111111,1,0.888888889,0.5
NEPHFU8,Norway lobster Firth of Forth (FU 8),Nephrops norvegicus,multinational-ICES-FU8,European Union,,1.030674847,United Kingdom,Norway lobster,United Kingdom|Norway lobster,6,0.788208457,6,6,0.75,0.666666667,United Kingdom|Norway lobster,0.788208457,0.928571429,0.712962963,0.677966102,0.833333333,1,0.888888889,0.861111111,0.95,0.694444444,0.666666667,0.777777778,0.717391304,0.694444444,0.611111111,1,0.888888889,0.5
NEPHFU9,Norway lobster Moray Firth (FU 9),Nephrops norvegicus,multinational-ICES-FU9,European Union,,0.771186441,United Kingdom,Norway lobster,United Kingdom|Norway lobster,6,0.788208457,6,6,0.75,0.666666667,United Kingdom|Norway lobster,0.788208457,0.928571429,0.712962963,0.677966102,0.833333333,1,0.888888889,0.861111111,0.95,0.694444444,0.666666667,0.777777778,0.717391304,0.694444444,0.611111111,1,0.888888889,0.5
WHITNS-VIId,Whiting NS-VIId,Merlangius merlangus,multinational-ICES-IV-VIId,European Union,1.104041152,1.516,United Kingdom,Whiting,United Kingdom|Whiting,,,,,,,United Kingdom|Whiting,,,,,,,,,,,,,,,,,,
WHITVIa,Whiting ICES VIa,Merlangius merlangus,multinational-ICES-VIa,European Union,0.364027828,0.319155389,United Kingdom,Whiting,United Kingdom|Whiting,,,,,,,United Kingdom|Whiting,,,,,,,,,,,,,,,,,,
ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,Sebastes fasciatus,USA-NMFS-5YZ,US East Coast,1.173923561,0.413957549,United States,Acadian redfish,United States|Acadian redfish,,,,,,,United States|Acadian redfish,,,,,,,,,,,,,,,,,,
ALPLAICBSAI,Alaska plaice Bering Sea and Aleutian Islands,Pleuronectes quadrituberculatus,USA-NMFS-BSAI,US Alaska,1.870758643,0.176315789,United States,Alaska plaice,United States|Alaska plaice,,,,,,,United States|Alaska plaice,,,,,,,,,,,,,,,,,,
WPOLLAI,Walleye pollock Aleutian Islands,Theragra chalcogramma,USA-NMFS-AI,US Alaska,0.969242238,0.020588235,United States,Alaska pollock(=Walleye poll.),United States|Alaska pollock(=Walleye poll.),7,0.975396825,7,7,1,1,United States|Alaska pollock(=Walleye poll.),0.975396825,1,1,0.957142857,0.944444444,1,1,1,1,1,1,1,0.964285714,0.952380952,0.952380952,0.952380952,1,0.833333333
WPOLLCWGA,Walleye pollock Central Western Gulf of Alaska,Theragra chalcogramma,USA-NMFS-CWGA,US Alaska,0.956804806,,United States,Alaska pollock(=Walleye poll.),United States|Alaska pollock(=Walleye poll.),7,0.975396825,7,7,1,1,United States|Alaska pollock(=Walleye poll.),0.975396825,1,1,0.957142857,0.944444444,1,1,1,1,1,1,1,0.964285714,0.952380952,0.952380952,0.952380952,1,0.833333333
WPOLLEBS,Walleye pollock Eastern Bering Sea,Theragra chalcogramma,USA-NMFS-EBS,US Alaska,1.514373717,0.352640545,United States,Alaska pollock(=Walleye poll.),United States|Alaska pollock(=Walleye poll.),7,0.975396825,7,7,1,1,United States|Alaska pollock(=Walleye poll.),0.975396825,1,1,0.957142857,0.944444444,1,1,1,1,1,1,1,0.964285714,0.952380952,0.952380952,0.952380952,1,0.833333333
WPOLLGA,Walleye pollock Gulf of Alaska,Theragra chalcogramma,USA-NMFS-GA,US Alaska,1.245421245,0.621052632,United States,Alaska pollock(=Walleye poll.),United States|Alaska pollock(=Walleye poll.),7,0.975396825,7,7,1,1,United States|Alaska pollock(=Walleye poll.),0.975396825,1,1,0.957142857,0.944444444,1,1,1,1,1,1,1,0.964285714,0.952380952,0.952380952,0.952380952,1,0.833333333
ALSKABSAI,Alaska skate Bering Sea and Aleutian Islands,Bathyraja parmifera,USA-NMFS-BSAI,US Alaska,1.763569387,,United States,Alaska skate,United States|Alaska skate,,,,,,,United States|Alaska skate,,,,,,,,,,,,,,,,,,
ALBANPAC,Albacore tuna North Pacific,Thunnus alalunga,Multinational-ISC-NPAC,US West Coast,2.2,0.310535642,United States,Albacore,United States|Albacore,,,,,,,United States|Albacore,,,,,,,,,,,,,,,,,,
AMPL5YZ,American Plaice NAFO-5YZ,Hippoglossoides platessoides,USA-NMFS-5YZ,US East Coast,0.837491417,0.592780521,United States,Amer. plaice(=Long rough dab),United States|Amer. plaice(=Long rough dab),,,,,,,United States|Amer. plaice(=Long rough dab),,,,,,,,,,,,,,,,,,
MONKGOMNGB,Monkfish Gulf of Maine / Northern Georges Bank,Lophius americanus,USA-NMFS-GOMNGB,US East Coast,1.312670921,0.228468596,United States,American angler,United States|American angler,2,0.942410714,2,2,0.75,0.75,United States|American angler,0.942410714,0.982142857,1,0.975,0.8125,1,0.916666667,1,1,1,1,1,1,1,0.916666667,0.75,0.916666667,0.75
MONKSGBMATL,Monkfish Southern Georges Bank / Mid-Atlantic,Lophius americanus,USA-NMFS-SGBMATL,US East Coast,1.550225348,0.384708392,United States,American angler,United States|American angler,2,0.942410714,2,2,0.75,0.75,United States|American angler,0.942410714,0.982142857,1,0.975,0.8125,1,0.916666667,1,1,1,1,1,1,1,0.916666667,0.75,0.916666667,0.75
LOBSTERGOM,American lobster Gulf of Maine,Homarus americanus,USA-NMFS-5Y,US East Coast,0.580666667,,United States,American lobster,United States|American lobster,9,0.884962117,9,9,0.777777778,0.833333333,United States|American lobster,0.884962117,0.922764228,0.956790123,0.8,0.860294118,0.962962963,0.8125,0.925925926,0.955555556,1,0.907407407,0.962962963,0.875,0.87037037,0.62962963,0.759259259,1,0.785714286
SCALL5ZMAB,Sea scallop Georges Bank and Mid-Atlantic Bight,Placopecten magellanicus,USA-NMFS-5ZMAB,US East Coast,1.378524046,0.570015677,United States,American sea scallop,United States|American sea scallop,9,0.942430854,9,9,1,1,United States|American sea scallop,0.942430854,0.943089431,1,0.922222222,0.904411765,1,0.770833333,0.944444444,1,1,1,1,0.958333333,0.925925926,0.87037037,0.907407407,1,0.714285714
ARFLOUNDBSAI,Arrowtooth flounder Bering Sea and Aleutian Islands,Reinhardtius stomias,USA-NMFS-BSAI,US Alaska,2.747423636,0.075862069,United States,Arrowtooth flounder,United States|Arrowtooth flounder,,,,,,,United States|Arrowtooth flounder,,,,,,,,,,,,,,,,,,
ARFLOUNDGA,Arrowtooth flounder Gulf of Alaska,Atheresthes stomias,USA-NMFS-GA,US Alaska,3.262385004,0.046051635,United States,Arrowtooth flounder,United States|Arrowtooth flounder,,,,,,,United States|Arrowtooth flounder,,,,,,,,,,,,,,,,,,
ARFLOUNDPCOAST,Arrowtooth flounder Pacific Coast,Reinhardtius stomias,USA-NMFS-PCOAST,US West Coast,3.118797433,0.219471429,United States,Arrowtooth flounder,United States|Arrowtooth flounder,,,,,,,United States|Arrowtooth flounder,,,,,,,,,,,,,,,,,,
ATKABSAI,Atka mackerel Bering Sea and Aleutian Islands,Pleurogrammus monopterygius,USA-NMFS-BSAI,US Alaska,1.49359293,0.664529915,United States,Atka mackerel,United States|Atka mackerel,2,0.9609375,2,2,1,1,United States|Atka mackerel,0.9609375,1,1,1,0.84375,1,1,1,1,1,1,1,1,1,1,0.916666667,1,0.5
BUTTERGOMCHATT,Atlantic butterfish Gulf of Maine / Cape Hatteras,Peprilus triacanthus,USA-NMFS-5YCHATT,US East Coast,1.742809541,0.024691358,United States,Atlantic butterfish,United States|Atlantic butterfish,,,,,,,United States|Atlantic butterfish,,,,,,,,,,,,,,,,,,
COD5Zjm,Atlantic cod NAFO 5Zjm,Gadus morhua,Canada-DFO-5Zjm,US East Coast,,0.363636364,United States,Atlantic cod,United States|Atlantic cod,1,0.905753968,1,1,0,0,United States|Atlantic cod,0.905753968,0.928571429,0.944444444,0.75,1,1,1,0.666666667,1,1,0.833333333,1,0.75,1,0.5,1,1,1
CODGOM,Atlantic cod Gulf of Maine,Gadus morhua,USA-NMFS-5Y,US East Coast,0.043018037,3.402540336,United States,Atlantic cod,United States|Atlantic cod,1,0.905753968,1,1,0,0,United States|Atlantic cod,0.905753968,0.928571429,0.944444444,0.75,1,1,1,0.666666667,1,1,0.833333333,1,0.75,1,0.5,1,1,1
CODGB,Atlantic cod Georges Bank,Gadus morhua,USA-NMFS-5Z,US East Coast,0.119012518,1.380390974,United States,Atlantic cod,United States|Atlantic cod,1,0.905753968,1,1,0,0,United States|Atlantic cod,0.905753968,0.928571429,0.944444444,0.75,1,1,1,0.666666667,1,1,0.833333333,1,0.75,1,0.5,1,1,1
ATLCROAKMATLC,Atlantic croaker Mid-Atlantic Coast,Micropogonias undulatus,USA-NMFS-MATLC,US East Coast,2.775473524,0.282051282,United States,Atlantic croaker,United States|Atlantic croaker,,,,,,,United States|Atlantic croaker,,,,,,,,,,,,,,,,,,
ATHAL5YZ,Atlantic Halibut NAFO-5YZ,Hippoglossus hippoglossus,USA-NMFS-5YZ,US East Coast,0.026530612,0.910000005,United States,Atlantic halibut,United States|Atlantic halibut,,,,,,,United States|Atlantic halibut,,,,,,,,,,,,,,,,,,
HERRNWATLC,Atlantic herring Northwestern Atlantic Coast,Clupea harengus,USA-NMFS-NWATLC,US East Coast,2.002252969,0.616268254,United States,Atlantic herring,United States|Atlantic herring,1,0.95,1,1,1,1,United States|Atlantic herring,0.95,1,1,0.8,1,1,1,1,1,1,1,1,1,1,0.333333333,1,1,1
SNOSESHARATL,Atlantic sharpnose shark Atlantic,Rhizoprionodon terraenovae,USA-NMFS-ATL,Atlantic Ocean,1.422657952,0.721052632,United States,Atlantic sharpnose shark,United States|Atlantic sharpnose shark,,,,,,,United States|Atlantic sharpnose shark,,,,,,,,,,,,,,,,,,
SPANMACKGM,Spanish mackerel Gulf of Mexico,Scomberomorus maculatus,USA-NMFS-GM,US Southeast and Gulf,1.837701905,0.333333333,United States,Atlantic Spanish mackerel,United States|Atlantic Spanish mackerel,,,,,,,United States|Atlantic Spanish mackerel,,,,,,,,,,,,,,,,,,
SPANMACKSATLC,Spanish mackerel Southern Atlantic Coast,Scomberomorus maculatus,USA-NMFS-SATLC,US Southeast and Gulf,1.193967323,0.550928926,United States,Atlantic Spanish mackerel,United States|Atlantic Spanish mackerel,,,,,,,United States|Atlantic Spanish mackerel,,,,,,,,,,,,,,,,,,
SURFMATLC,Atlantic surfclam Mid-Atlantic Coast,Spisula solidissima,USA-NMFS-MATLC,US East Coast,1.090534979,0.173917636,United States,Atlantic surf clam,United States|Atlantic surf clam,3,0.948268921,2,2,1,1,United States|Atlantic surf clam,0.948268921,1,0.97826087,0.814814815,1,1,1,1,1,1,1,0.944444444,0.863636364,0.611111111,1,1,1,1
AWOLF5YZ,Atlantic wolffish Gulf of Maine / Georges Bank,Anarhichas lupus,USA-NMFS-5YZ,US East Coast,,0.012345679,United States,Atlantic wolffish,United States|Atlantic wolffish,,,,,,,United States|Atlantic wolffish,,,,,,,,,,,,,,,,,,
AUROCKPCOAST,Aurora rockfish Pacific Coast,Sebastes aurora,USA-NMFS-PCOAST,US West Coast,1.593666667,0.337911072,United States,Aurora rockfish,United States|Aurora rockfish,1,0.953571429,1,1,1,1,United States|Aurora rockfish,0.953571429,0.964285714,1,0.85,1,0.833333333,1,1,1,1,1,1,1,0.5,1,1,1,1
BLACKGROUPERGMSATL,Black Grouper Gulf of Mexico and South Atlantic,Mycteroperca bonaci,USA-NMFS-GMSATL,US Southeast and Gulf,1.400231634,0.5,United States,Black grouper,United States|Black grouper,,,,,,,United States|Black grouper,,,,,,,,,,,,,,,,,,
BLACKROCKCAL,Black rockfish California,Sebastes melanops,USA-NMFS-CAL,US West Coast,0.831096471,0.870373738,United States,Black rockfish,United States|Black rockfish,,,,,,,United States|Black rockfish,,,,,,,,,,,,,,,,,,
BLACKROCKORECOAST,Black rockfish Oregon,Sebastes melanops,USA-NMFS-ORECOAST,US West Coast,1.513517027,0.54822966,United States,Black rockfish,United States|Black rockfish,,,,,,,United States|Black rockfish,,,,,,,,,,,,,,,,,,
